CustomerID,Recency,Frequency,Monetary,Country,Cluster,R_Score,F_Score,M_Score,RFM_Segment
12346,326,1,77183.6,United Kingdom,1,1,1,4,114
12347,2,7,4310.0,Iceland,2,4,4,4,444
12348,75,4,1797.24,Finland,1,2,3,4,234
12349,19,1,1757.55,Italy,0,3,1,4,314
12350,310,1,334.40000000000003,Norway,3,1,1,2,112
12352,36,8,2506.04,Norway,1,3,4,4,344
12353,204,1,89.0,Bahrain,3,1,1,1,111
12354,232,1,1079.4,Spain,3,1,1,3,113
12355,214,1,459.40000000000003,Bahrain,3,1,1,2,112
12356,23,3,2811.43,Portugal,1,3,3,4,334
12357,33,1,6207.67,Switzerland,1,3,1,4,314
12358,2,2,1168.06,Austria,0,4,2,3,423
12359,58,4,6310.03,Cyprus,1,2,3,4,234
12360,52,3,2662.06,Austria,1,2,3,4,234
12361,287,1,189.9,Belgium,3,1,1,1,111
12362,3,10,5226.2300000000005,Belgium,2,4,4,4,444
12363,110,2,552.0,Unspecified,3,2,2,2,222
12364,8,4,1313.1,Belgium,0,4,3,3,433
12365,291,2,641.38,Cyprus,3,1,2,2,122
12367,4,1,168.9,Denmark,0,4,1,1,411
12370,51,4,3541.94,Cyprus,1,3,3,4,334
12371,45,2,1887.96,Switzerland,1,3,2,4,324
12372,72,3,1298.04,Denmark,1,2,3,3,233
12373,311,1,364.6,Austria,3,1,1,2,112
12374,25,1,742.9300000000001,Austria,0,3,1,3,313
12375,11,2,457.5,Finland,0,4,2,2,422
12377,315,2,1628.1200000000001,Switzerland,1,1,2,3,123
12378,130,1,4008.62,Switzerland,1,2,1,4,214
12379,82,2,852.24,Belgium,1,2,2,3,223
12380,22,4,2724.81,Belgium,1,3,3,4,334
12381,5,5,1845.31,Norway,2,4,3,4,434
12383,185,5,1850.56,Belgium,1,1,3,4,134
12384,29,2,585.27,Switzerland,0,3,2,2,322
12386,338,2,401.9,Australia,3,1,2,2,122
12388,16,6,2780.6600000000003,Australia,2,4,4,4,444
12390,80,1,549.84,Belgium,3,2,1,2,212
12391,22,1,439.66,Cyprus,0,3,1,2,312
12393,72,4,1582.6000000000001,Australia,1,2,3,3,233
12394,64,2,1272.48,Belgium,1,2,2,3,223
12395,19,12,3018.63,Belgium,2,3,4,4,344
12397,36,2,2409.9,Belgium,1,3,2,4,324
12398,46,1,1635.6599999999999,Switzerland,1,3,1,3,313
12399,119,4,1108.65,Belgium,1,2,3,3,233
12401,303,1,84.3,Belgium,3,1,1,1,111
12402,323,1,225.60000000000002,Belgium,3,1,1,1,111
12403,50,1,427.7,Denmark,3,3,1,2,312
12405,149,1,1710.39,Finland,1,1,1,4,114
12406,22,2,3415.3,Denmark,1,3,2,4,324
12407,50,5,1708.12,Belgium,1,3,3,4,334
12408,33,5,2888.55,Belgium,1,3,3,4,334
12409,79,3,11072.67,Switzerland,1,2,3,4,234
12410,309,2,693.33,Switzerland,3,1,2,3,123
12412,75,3,1226.88,Denmark,1,2,3,3,233
12413,67,3,758.1,France,1,2,3,3,233
12414,217,3,562.4100000000001,Austria,3,1,3,2,132
12415,24,21,124914.53,Australia,2,3,4,4,344
12417,3,9,3649.1,Belgium,2,4,4,4,444
12418,113,1,668.58,Switzerland,3,2,1,3,213
12420,64,1,600.39,Cyprus,3,2,1,2,212
12421,16,4,807.04,Spain,0,4,3,3,433
12422,96,3,803.5600000000001,Australia,1,2,3,3,233
12423,1,8,1859.31,Belgium,2,4,4,4,444
12424,163,2,1760.96,Australia,1,1,2,4,124
12425,78,1,777.2,Portugal,3,2,1,3,213
12426,195,1,582.73,Germany,3,1,1,2,112
12427,22,3,825.8000000000001,Germany,0,3,3,3,333
12428,26,9,7956.46,Finland,2,3,4,4,344
12429,9,4,3750.4,Denmark,2,4,3,4,434
12430,43,1,256.4,Norway,3,3,1,1,311
12431,36,15,6419.95,Australia,2,3,4,4,344
12432,43,5,5059.32,Norway,1,3,3,4,334
12433,1,7,13375.87,Norway,2,4,4,4,444
12434,85,2,806.14,Australia,1,2,2,3,223
12435,80,2,7829.89,Denmark,1,2,2,4,224
12436,100,1,509.01,Norway,3,2,1,2,212
12437,2,18,4951.41,France,2,4,4,4,444
12438,14,2,2906.85,Norway,1,4,2,4,424
12441,367,1,173.55,France,3,1,1,1,111
12442,3,1,172.06,Spain,0,4,1,1,411
12444,21,5,5005.46,Norway,2,3,3,4,334
12445,22,1,133.4,Spain,0,3,1,1,311
12446,58,1,1002.3100000000001,RSA,3,2,1,3,213
12447,243,1,476.49,Belgium,3,1,1,2,112
12448,44,1,449.45,Spain,0,3,1,2,312
12449,22,4,4067.29,Belgium,1,3,3,4,334
12450,156,2,197.88,Spain,3,1,2,1,121
12451,11,5,9035.52,Switzerland,2,4,3,4,434
12452,17,2,430.57000000000005,Switzerland,0,4,2,2,422
12453,134,1,707.09,Austria,3,2,1,3,213
12454,56,1,3528.34,Spain,1,2,1,4,214
12455,73,6,2466.86,Cyprus,1,2,4,4,244
12456,44,3,3181.04,Switzerland,1,3,3,4,334
12457,66,7,2363.23,Switzerland,1,2,4,4,244
12458,71,2,947.4,Switzerland,1,2,2,3,223
12461,94,2,826.88,Switzerland,1,2,2,3,223
12462,19,2,1189.59,Spain,0,3,2,3,323
12463,53,4,1344.78,Belgium,1,2,3,3,233
12464,10,8,1212.05,Belgium,2,4,4,3,443
12465,17,2,742.19,Belgium,0,4,2,3,423
12468,188,2,729.54,Germany,3,1,2,3,123
12471,2,30,19788.65,Germany,2,4,4,4,444
12472,32,7,6572.11,Germany,2,3,4,4,344
12473,29,5,3928.05,Germany,1,3,3,4,334
12474,17,18,7324.09,Germany,2,4,4,4,444
12475,54,1,723.38,Germany,3,2,1,3,213
12476,16,11,6816.42,Germany,2,4,4,4,444
12477,23,6,13219.74,Germany,2,3,4,4,344
12478,4,1,680.99,Greece,0,4,1,3,413
12479,11,1,527.2,Germany,0,4,1,2,412
12480,28,4,3281.63,Germany,1,3,3,4,334
12481,23,10,5579.82,Germany,2,3,4,4,344
12483,17,8,2484.98,Sweden,2,4,4,4,444
12484,33,6,4527.32,Spain,1,3,4,4,344
12488,10,3,1298.66,France,0,4,3,3,433
12489,336,1,334.93,France,3,1,1,2,112
12490,5,10,5417.93,France,2,4,4,4,444
12491,39,1,460.40000000000003,France,0,3,1,2,312
12492,63,2,263.21000000000004,Germany,3,2,2,1,221
12493,166,2,433.74,France,3,1,2,2,122
12494,16,7,1246.1,France,1,4,4,3,443
12497,82,1,1043.1,Germany,3,2,1,3,213
12498,21,3,403.70000000000005,Germany,0,3,3,2,332
12500,23,11,4257.82,Germany,2,3,4,4,344
12501,337,1,2169.39,Germany,3,1,1,4,114
12502,96,5,3723.87,Spain,1,2,3,4,234
12504,18,2,482.04999999999995,Germany,0,4,2,2,422
12506,233,1,73.5,France,3,1,1,1,111
12507,134,3,1304.81,Spain,1,2,3,3,233
12508,26,2,397.88,France,0,3,2,2,322
12509,284,1,176.5,France,3,1,1,1,111
12510,143,2,982.5699999999999,Spain,1,1,2,3,123
12512,66,2,132.18,Israel,3,2,2,1,221
12513,113,1,612.29,France,3,2,1,2,212
12514,267,1,1017.6800000000001,Italy,3,1,1,3,113
12515,353,1,383.7,Italy,3,1,1,2,112
12516,78,2,1312.06,Germany,1,2,2,3,223
12517,28,5,2481.6,Germany,1,3,3,4,334
12518,1,5,2056.89,Germany,2,4,3,4,434
12519,64,1,330.84000000000003,Germany,3,2,1,2,212
12520,79,5,2634.26,Germany,1,2,3,4,234
12521,143,1,599.68,Germany,3,1,1,2,112
12522,39,2,192.72,Germany,0,3,2,1,321
12523,19,11,1789.77,France,2,3,4,4,344
12524,9,8,4485.72,Germany,2,4,4,4,444
12526,1,3,1316.66,Germany,0,4,3,3,433
12527,82,3,348.71000000000004,Germany,3,2,3,2,232
12528,9,6,1933.48,Germany,2,4,4,4,444
12530,60,4,1662.28,Germany,1,2,3,4,234
12531,15,1,125.22,Germany,0,4,1,1,411
12532,30,1,349.83000000000004,France,0,3,1,2,312
12534,131,1,1089.18,Germany,3,2,1,3,213
12535,92,2,716.35,France,1,2,2,3,223
