StockCode,Description,TotalRevenue,TotalQuantity,UniqueInvoices,UniqueCustomers
10002,INFLATABLE POLITICAL GLOBE ,699.55,823,49,40
10080,GROOVY CACTUS INFLATABLE,114.41,291,21,19
10120,DOGGY RUBBER,40.32,192,29,25
10123C,HEARTS WRAPPING TAPE ,3.25,5,3,3
10124A,SPOTS ON RED BOOKCOVER TAPE,6.72,16,5,5
10124G,ARMY CAMO BOOKCOVER TAPE,7.14,17,4,4
10125,MINI FUNKY DESIGN TAPES,929.45,1225,61,49
10133,COLOURING PENCILS BROWN TUBE,1138.99,2373,122,101
10135,COLOURING PENCILS BROWN TUBE,1784.19,1936,117,92
11001,ASSTD DESIGN RACING CAR PEN,1953.0,1252,62,44
15030,FAN BLACK FRAME ,41.47,143,12,11
15034,PAPER POCKET TRAVELING FAN ,697.0600000000001,6419,91,70
15036,ASSORTED COLOURS SILK FAN,16044.44,21876,324,194
15039,SANDALWOOD FAN,1132.3,1558,70,58
15044A,PINK PAPER PARASOL ,1230.5800000000002,422,78,53
15044B,BLUE PAPER PARASOL ,865.6500000000001,307,48,36
15044C,PURPLE PAPER PARASOL,779.45,271,60,43
15044D,RED PAPER PARASOL,1732.7900000000002,629,73,53
15056BL,EDWARDIAN PARASOL BLACK,15218.67,2779,291,142
15056N,EDWARDIAN PARASOL NATURAL,20672.91,3822,378,184
15056P,EDWARDIAN PARASOL PINK,4242.26,767,135,87
15058A,BLUE POLKADOT GARDEN PARASOL,1104.6,148,51,40
15058B,PINK POLKADOT GARDEN PARASOL,866.25,115,41,32
15058C,ICE CREAM DESIGN GARDEN PARASOL,894.35,193,30,26
15060B,FAIRY CAKE DESIGN UMBRELLA,1482.87,411,95,68
16008,SMALL FOLDING SCISSOR(POINTED EDGE),360.71,2892,70,54
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3.5999999999999996,30,3,3
16011,ANIMAL STICKERS,367.29,1749,46,38
16012,FOOD/DRINK SPONGE STICKERS,256.2,1220,35,33
16014,SMALL CHINESE STYLE SCISSOR,4335.76,13328,54,34
16015,MEDIUM CHINESE STYLE SCISSOR,289.98,662,24,19
16016,LARGE CHINESE STYLE SCISSOR,1053.45,1273,65,41
16020C,CLEAR STATIONERY BOX SET ,5.1,6,2,1
16033,MINI HIGHLIGHTER PENS,100.80000000000001,840,4,4
16043,POP ART PUSH DOWN RUBBER ,11.759999999999998,98,2,2
16045,POPART WOODEN PENCILS ASST,380.0,8900,68,61
16046,TEATIME PEN CASE & PENS,54.4,64,13,13
16048,TEATIME ROUND PENCIL SHARPENER ,186.72,1436,47,41
16049,TEATIME GEL PENS ASST,82.08,504,5,5
16052,TEATIME PUSH DOWN RUBBER,105.28999999999999,467,6,5
16054,POPART RECT PENCIL SHARPENER ASST,140.52,1166,33,29
16151A,FLOWERS HANDBAG blue and orange,61.25,49,3,3
16156L,WRAP CAROUSEL,157.5,375,14,13
16156L,"WRAP, CAROUSEL",42.0,100,4,4
16156S,WRAP PINK FAIRY CAKES ,2331.0,5800,167,135
16161G,WRAP BAD HAIR DAY,70.0,700,22,22
16161M,WRAP  PINK FLOCK,10.5,25,1,1
16161P,WRAP ENGLISH ROSE ,2980.42,7201,248,189
16161U,WRAP SUKI AND FRIENDS,1687.5,4075,134,105
16162L,THE KING GIFT BAG,11.05,17,6,5
16162M,THE KING GIFT BAG 25x24x12cm,10.92,26,7,6
16168M,FUNKY MONKEY GIFT BAG MEDIUM,138.18,329,20,19
16169E,WRAP 50'S  CHRISTMAS,1892.46,4563,149,143
16169K,WRAP FOLK ART,84.0,200,8,8
16169M,WRAP DAISY CARPET ,277.2,660,25,24
16169N,WRAP BLUE RUSSIAN FOLKART,10.5,25,1,1
16169P,WRAP GREEN RUSSIAN FOLKART ,21.0,50,2,2
16202A,PASTEL PINK PHOTO ALBUM ,3.5,7,2,2
16202B,PASTEL BLUE PHOTO ALBUM ,14.5,29,2,2
16202E,BLACK PHOTO ALBUM ,7.5,15,3,3
16206B,RED PURSE WITH PINK HEART,8.75,7,2,2
16207A,PINK STRAWBERRY HANDBAG ,38.35000000000001,13,5,4
16207B,PINK HEART RED HANDBAG,11.31,4,3,3
16216,LETTER SHAPE PENCIL SHARPENER,227.14,3316,41,38
16218,CARTOON  PENCIL SHARPENERS,253.2,3760,50,43
16219,HOUSE SHAPE PENCIL SHARPENER,309.9,2915,47,41
16225,RATTLE SNAKE EGGS,596.84,760,75,57
16235,RECYCLED PENCIL WITH RABBIT ERASER,518.1899999999999,2629,80,68
16236,KITTY PENCIL ERASERS,266.56,1296,73,59
16237,SLEEPING CAT ERASERS,885.45,4595,162,109
16238,PARTY TIME PENCIL ERASERS,265.09,1259,78,61
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7.85,7,2,2
16248B,BLUE HOLE PUNCH,16.25,13,7,7
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,27.91,31,9,7
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,156.53,445,38,29
16259,PIECE OF CAMO STATIONERY SET,326.56,3380,31,28
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,20.88,72,1,1
17003,BROCADE RING PURSE ,5969.61,22927,206,136
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,50.400000000000006,24,2,2
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,62.15,80,6,6
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,244.9,270,24,21
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,422.54999999999995,455,36,33
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,341.8,362,43,37
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,362.95,385,44,35
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,40.05,35,3,3
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,329.05,365,42,33
17013D,ORIGAMI ROSE INCENSE IN TUBE,257.88,532,11,10
17014A,ORIGAMI VANILLA INCENSE CONES,67.83,154,7,7
17021,NAMASTE SWAGAT INCENSE,632.34,2391,47,30
17028J,INCENSE BAZAAR PEACH,2.52,6,1,1
17038,PORCELAIN BUDAH INCENSE HOLDER,138.1,1501,19,18
17084A,TRANQUILITY MASALA INCENSE,42.0,200,7,7
17084J,LOVE POTION MASALA INCENSE,47.25,225,8,8
17084N,FAIRY DREAMS INCENSE ,212.75,1025,32,25
17084P,DRAGONS BLOOD INCENSE,73.29,349,13,12
17084R,ASSORTED INCENSE PACK,760.3199999999999,4032,27,16
17090A,LAVENDER INCENSE 40 CONES IN TIN,107.45,109,10,9
17090D,VANILLA INCENSE 40 CONES IN TIN,36.25,29,12,6
17091A,LAVENDER INCENSE IN TIN,98.91,171,25,19
17091J,VANILLA INCENSE IN TIN,876.34,2066,87,66
17096,ASSORTED LAQUERED INCENSE HOLDERS,443.76000000000005,2516,13,12
17107D,FLOWER FAIRY 5 DRAWER LINERS,150.45,59,20,18
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,15.3,6,1,1
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",267.75,105,25,24
17109D,FLOWER FAIRY INCENSE BOUQUET,32.349999999999994,61,5,4
17129F,BLUE GLASS GEMS IN BAG,291.25,427,19,11
17136A,BLUE STONES ON WIRE FOR CANDLE,29.59,352,17,16
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,11.34,27,9,9
17165D,ASS COL LARGE SAND FROG P'WEIGHT,28.35,27,7,6
17174,ASSTD RASTA KEY-CHAINS,3.7800000000000002,9,3,3
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,15.0,4,2,1
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,383.76,5856,17,15
18094C,WHITE AND BLUE CERAMIC OIL BURNER,153.1,134,15,13
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,12.75,5,4,4
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1461.15,669,52,43
18098C,PORCELAIN BUTTERFLY OIL BURNER,540.5500000000001,193,36,24
20615,BLUE POLKADOT PASSPORT COVER,233.34,231,35,28
20616,CHERRY BLOSSOM PASSPORT COVER,122.78,134,25,19
20617,FIRST CLASS PASSPORT COVER ,137.74,66,26,20
20618,QUEEN OF THE SKIES PASSPORT COVER ,137.88,68,28,20
20619,TROPICAL PASSPORT COVER ,206.23,142,22,16
20622,VIP PASSPORT COVER ,73.5,35,11,8
20622,VIPPASSPORT COVER ,164.58,127,21,18
20652,BLUE POLKADOT LUGGAGE TAG ,191.01,147,33,26
20653,CHERRY BLOSSOM LUGGAGE TAG,43.67,33,6,5
20654,FIRST CLASS LUGGAGE TAG ,126.69,105,23,21
20655,QUEEN OF SKIES LUGGAGE TAG,109.11,89,34,20
20657,TROPICAL LUGGAGE TAG,76.39,61,22,20
20658,RED RETROSPOT LUGGAGE TAG,408.75,327,59,44
20659,ECONOMY LUGGAGE TAG,139.56,94,29,18
20661,BLUE POLKADOT PURSE ,35.07,9,5,3
20662,FIRST CLASS HOLIDAY PURSE ,40.97,11,5,4
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,11.690000000000001,3,3,3
20664,TROPICAL HOLIDAY PURSE ,17.700000000000003,6,3,3
20665,RED RETROSPOT PURSE ,998.2000000000002,340,73,58
20666,ECONOMY HOLIDAY PURSE,11.8,4,4,4
20667,CHERRY BLOSSOM PURSE,2.95,1,1,1
20668,DISCO BALL CHRISTMAS DECORATION,1397.04,12618,181,111
20669,RED HEART LUGGAGE TAG,243.75,195,42,36
20670,VIP HOLIDAY PURSE,29.28,8,6,5
20671,BLUE TEATIME PRINT BOWL ,12.5,10,2,2
20674,GREEN POLKADOT BOWL,1632.81,1360,149,101
20675,BLUE POLKADOT BOWL,3178.65,2728,223,149
20676,RED RETROSPOT BOWL,4980.7300000000005,4310,298,185
20677,PINK POLKADOT BOWL,3640.08,3157,220,133
20678,LARGE BLACK DIAMANTE HAIRSLIDE,6.6,4,1,1
20679,EDWARDIAN PARASOL RED,9055.87,1630,270,141
20681,PINK POLKADOT CHILDRENS UMBRELLA,406.25,125,33,29
20682,RED RETROSPOT CHILDRENS UMBRELLA,3629.66,1140,182,138
20684,STRAWBERRY DREAM CHILDS UMBRELLA,250.25,77,32,30
20685,DOORMAT RED RETROSPOT,25364.85,3897,576,329
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,822.38,252,64,51
20694,FLORAL PINK MONSTER,135.0,36,10,9
20695,FLORAL BLUE MONSTER,21.25,5,4,4
20696,FLORAL SOFT CAR TOY,120.0,32,10,10
20697,LITTLE GREEN MONSTER SOFT TOY,43.349999999999994,17,9,8
20698,LITTLE PINK MONSTER SOFT TOY,40.8,16,7,7
20699,MOUSEY LONG LEGS SOFT TOY,73.95,29,11,11
20700,GREEN CAT FLORAL CUSHION COVER ,37.5,10,4,4
20701,PINK CAT FLORAL CUSHION COVER ,22.5,6,3,3
20702,PINK PADDED MOBILE,539.75,127,40,31
20703,BLUE PADDED SOFT MOBILE,4.25,1,1,1
20704,MR ROBOT SOFT TOY,626.45,211,39,38
20705,MRS ROBOT SOFT TOY,428.85,143,28,27
20707,CRAZY DAISY HEART DECORATION,195.52,155,31,20
20711,JUMBO BAG TOYS ,7689.28,4198,245,152
20712,JUMBO BAG WOODLAND ANIMALS,15511.6,8187,492,248
20713,JUMBO BAG OWLS,19047.02,10451,411,207
20716,PARTY FOOD SHOPPER BAG,373.5,314,34,31
20717,STRAWBERRY SHOPPER BAG,2453.38,2034,231,150
20718,RED RETROSPOT SHOPPER BAG,5106.56,4257,384,236
20719,WOODLAND CHARLOTTE BAG,7261.94,9219,531,238
20723,STRAWBERRY CHARLOTTE BAG,5516.7,6842,492,230
20724,RED RETROSPOT CHARLOTTE BAG,10122.45,12805,739,335
20725,LUNCH BAG RED RETROSPOT,27868.8,17576,1288,532
20725,LUNCH BAG RED SPOTTY,290.0,200,1,1
20726,LUNCH BAG WOODLAND,14497.51,9091,820,372
20727,LUNCH BAG  BLACK SKULL.,17950.3,11246,1052,458
20728,LUNCH BAG CARS BLUE,17214.53,10789,966,479
20731,POSY CANDY BAG,92.5,74,8,8
20733,GOLD MINI TAPE MEASURE ,687.2,916,46,30
20735,BLACK MINI TAPE MEASURE ,121.3,158,30,11
20748,KENSINGTON COFFEE SET,675.75,53,30,26
20749,ASSORTED COLOUR MINI CASES,12107.51,1717,365,239
20750,RED RETROSPOT MINI CASES,12208.85,1711,365,235
20751,FUNKY WASHING UP GLOVES ASSORTED,1917.0600000000002,941,171,127
20752,BLUE POLKADOT WASHING UP GLOVES,756.0,360,115,91
20754,RETROSPOT RED WASHING UP GLOVES,2668.38,1355,239,153
20755,BLUE PAISLEY POCKET BOOK,247.35,291,50,44
20756,GREEN FERN POCKET BOOK,53.55,63,22,20
20757,RED DAISY POCKET BOOK ,132.53,155,30,30
20758,ABSTRACT CIRCLES POCKET BOOK,134.29999999999998,158,41,35
20759,CHRYSANTHEMUM POCKET BOOK ,54.4,64,20,17
20760,GARDEN PATH POCKET BOOK,58.65,69,21,18
20761,BLUE PAISLEY SKETCHBOOK,408.67,107,52,46
20762,GREEN FERN SKETCHBOOK ,382.46,101,51,42
20763,DAISY SKETCHBOOK ,189.96,71,25,24
20764,ABSTRACT CIRCLES SKETCHBOOK ,483.63,126,60,45
20765,CHRYSANTHEMUM SKETCHBOOK ,367.34,94,51,45
20766,GARDEN PATH SKETCHBOOK,414.58,111,47,41
20767,BLUE PAISLEY JOURNAL ,534.32,214,58,50
20768,GREEN FERN JOURNAL ,317.71,130,36,31
20769,DAISY JOURNAL ,173.12,66,26,21
20770,ABSTRACT CIRCLE JOURNAL ,256.65,107,28,24
20771,CHRYSANTHEMUM  JOURNAL,180.91,70,27,21
20772,GARDEN PATH JOURNAL,534.46,218,46,40
20773,BLUE PAISLEY NOTEBOOK,92.39999999999999,56,23,21
20774,GREEN FERN NOTEBOOK,85.8,52,22,21
20775,DAISY NOTEBOOK ,103.95,63,20,19
20777,CHRYSANTHEMUM NOTEBOOK,156.75,95,36,32
20778,GARDEN PATH NOTEBOOK ,24.75,15,8,8
20780,BLACK EAR MUFF HEADPHONES,192.86,36,17,13
20781,GOLD EAR MUFF HEADPHONES,152.13,29,20,19
20782,CAMOUFLAGE EAR MUFF HEADPHONES,215.87,39,17,12
20785,FUSCHIA RETRO BAR STOOL,523.3000000000001,14,5,4
20793,BLUE TILED TRAY,54.0,8,4,4
20794,BLUE  TILE HOOK,213.14999999999998,85,15,15
20795,LARGE BLUE PROVENCAL CERAMIC BALL,92.4,44,8,6
20796,SMALL BLUE PROVENCAL CERAMIC BALL,100.64999999999999,61,8,8
20798,CLEAR MILKSHAKE GLASS,75.60000000000001,36,5,5
20801,LARGE PINK GLASS SUNDAE DISH,708.16,848,54,47
20802,SMALL GLASS SUNDAE DISH CLEAR,730.44,648,44,40
20803,SMALL PINK GLASS SUNDAE DISH,383.90999999999997,911,31,26
20816,GOLD FLOWER CUSHION COVER ,15.6,8,2,1
20818,GOLD TEDDY BEAR,20.0,12,2,2
20819,SILVER TEDDY BEAR,183.71,48,16,14
20820,SILVER LOOKING MIRROR,24.75,5,2,2
20821,GOLDIE LOOKING MIRROR,79.2,16,5,5
20823,GOLD WINE GOBLET,126.4,160,7,6
20826,SILVER APERITIF GLASS,128.4,276,8,7
20827,GOLD APERITIF GLASS,34.32,88,2,1
20828,GLITTER BUTTERFLY CLIPS,2489.1,1010,177,116
20829,GLITTER HANGING BUTTERFLY STRING,2528.39,1264,163,90
20830,SILVER PHOTO FRAME,157.5,75,20,19
20831,GOLD PHOTO FRAME,272.34000000000003,169,24,19
20832,RED FLOCK LOVE HEART PHOTO FRAME,517.68,1010,55,47
20835,FRENCH LATTICE CUSHION COVER ,54.78,66,7,7
20836,FRENCH PAISLEY CUSHION COVER,141.10000000000002,170,17,14
20837,FRENCH FLORAL CUSHION COVER ,142.47000000000003,141,15,14
20838,FRENCH LATTICE CUSHION COVER ,282.94,330,33,30
20839,FRENCH PAISLEY CUSHION COVER ,411.84,452,49,44
20840,FRENCH FLORAL CUSHION COVER ,399.28,464,43,35
20845,ZINC HEART LATTICE 2 WALL PLANTER,120.64999999999999,19,11,7
20846,ZINC HEART LATTICE T-LIGHT HOLDER,784.22,646,62,50
20847,ZINC HEART LATTICE CHARGER LARGE,172.5,46,14,12
20848,ZINC HEART LATTICE CHARGER SMALL,61.95,21,8,7
20851,ZINC HEART LATTICE TRAY OVAL ,53.550000000000004,9,7,5
20854,BLUE PATCH PURSE PINK HEART,252.79999999999998,164,17,16
20856,DENIM PATCH PURSE PINK BUTTERFLY,231.0,140,27,26
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,52.8,32,8,7
20861,GOLD COSMETIC BAG PINK STAR,4.2,2,2,2
20866,BLUE ROSE FABRIC MIRROR,487.34,408,37,34
20867,PINK ROSE FABRIC MIRROR,231.47,187,25,23
20868,SILVER FABRIC MIRROR,159.26,381,31,29
20869,GOLD FABRIC MIRROR,54.21,139,17,17
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,30.0,24,7,7
20886,BOX OF 9 PEBBLE CANDLES,851.4,452,77,56
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,12.75,1,1,1
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,566.5500000000001,258,19,16
